"subject","media","auc","missingDay"
"R_3EcDPIrHYITFfPd","facebook",1273.04138405584,90
"R_3EcDPIrHYITFfPd","instagram",6827.34082611887,1
"R_3EcDPIrHYITFfPd","netflix",2985.40952936139,3
"R_3EiDuWsGT88I3S5","facebook",1155.50540889092,3
"R_3EiDuWsGT88I3S5","instagram",5195.57667287325,1
"R_3EiDuWsGT88I3S5","netflix",2412.33360237368,3
"R_3EmTTAlKbJp0lCM","facebook",-123.795518294397,3
"R_3EmTTAlKbJp0lCM","instagram",1323.9886124967,90
"R_3EmTTAlKbJp0lCM","netflix",8892.18835828685,30
"R_3FLKj00duPcJA8y","facebook",745.585974072326,3
"R_3FLKj00duPcJA8y","instagram",912.874098124081,14
"R_3FLKj00duPcJA8y","netflix",668.750103141333,90
"R_3GdhFpnuXizKDs6","facebook",8892.08597996097,3
"R_3GdhFpnuXizKDs6","instagram",-118.298021220639,3
"R_3Gq8ypQEvYge7Uu","facebook",6639.13843308284,30
"R_3Gq8ypQEvYge7Uu","instagram",7658.24330650127,14
"R_3Gq8ypQEvYge7Uu","netflix",6710.70540687425,30
"R_3HBx4oRm4Jupaa1","facebook",538.342334431465,90
"R_3HBx4oRm4Jupaa1","instagram",918.768311939387,90
"R_3HBx4oRm4Jupaa1","netflix",-1928.94657069845,7
"R_3HIdjTt4EpUqD3M","facebook",8921.73172592834,3
"R_3HIdjTt4EpUqD3M","instagram",-1879.56905960215,30
"R_3HIdjTt4EpUqD3M","netflix",6391.10683077027,3
"R_3IRDgo6hHwvRUvj","facebook",5321.83948035307,7
"R_3IRDgo6hHwvRUvj","instagram",4128.02608431391,1
"R_3IRDgo6hHwvRUvj","netflix",4492.57441781813,1
"R_3J2T0MhJxi7QUYZ","facebook",-851.351916701281,1
"R_3J2T0MhJxi7QUYZ","instagram",501.954000493207,1
"R_3J2T0MhJxi7QUYZ","netflix",1545.48870058558,90
"R_3JdSTM7hYgc4mxs","facebook",6499.91556013524,1
"R_3JdSTM7hYgc4mxs","instagram",570.346090882862,7
"R_3JdSTM7hYgc4mxs","netflix",4450.60827699805,1
"R_3JfRf4KW7ZOBSLv","facebook",2887.04116667354,90
"R_3JfRf4KW7ZOBSLv","instagram",3925.75349453188,1
"R_3JfRf4KW7ZOBSLv","netflix",-328.567864119701,3
"R_3JwoB57VZhpNtDZ","facebook",8642.5409122971,14
"R_3JwoB57VZhpNtDZ","instagram",8835.19581804417,30
"R_3JwoB57VZhpNtDZ","netflix",8632.02569021034,14
"R_3KqlAfhWkhzngG7","facebook",6593.36226121901,7
"R_3KqlAfhWkhzngG7","instagram",66.6810206615599,30
"R_3KqlAfhWkhzngG7","netflix",2974.69451349256,1
"R_3L73VL8OFTKac4m","facebook",1497.57163185544,3
"R_3M9a9OCP8rBBI9G","facebook",3031.73903184724,1
"R_3M9a9OCP8rBBI9G","instagram",5238.99583269339,7
"R_3M9a9OCP8rBBI9G","netflix",9034.28026863973,1
"R_3MlHsEKnVyWalcP","facebook",101.864306267799,7
"R_3MlHsEKnVyWalcP","instagram",73.3013063774467,14
"R_3MlHsEKnVyWalcP","netflix",439.16757668647,14
"R_3MrIE457HNP6ylT","facebook",1510.49996867847,90
"R_3MrIE457HNP6ylT","instagram",8674.03506555969,7
"R_3MrIE457HNP6ylT","netflix",7429.32308464002,7
"R_3NLq2Uqv60AuVci","facebook",7781.06641044169,30
"R_3NLq2Uqv60AuVci","instagram",-2221.9503039354,30
"R_3NLq2Uqv60AuVci","netflix",1439.76790793411,90
"R_3O69NLBXdFBcYTa","facebook",2686.3970770064,14
"R_3O69NLBXdFBcYTa","instagram",1966.19937611228,3
"R_3O69NLBXdFBcYTa","netflix",-446.435241472322,3
"R_3O8gP174QOVrqAa","facebook",4740.05476995456,1
"R_3O8gP174QOVrqAa","instagram",10439.5097209798,30
"R_3O8gP174QOVrqAa","netflix",7022.03782792077,3
"R_3PvGtkjxcERTrmR","facebook",7394.90272579584,30
